id,recipient_primary_major,recipient_secondary_majors,recipient_graduation_date,recipient_education_level,recipient_primary_college,recipient_gender,recipient_ethnicity,recipient_graduation_group_name,response_graduation_date,response_status,outcome,employer_name,employer_industry,employment_category,employment_type,job_function,job_position,employed_during_education,continuing_education_school,continuing_education_level,continuing_education_major,still_looking_option,not_seeking_option,annual_salary,pay_schedule,bonus_amount,other_compensation,job_alignment,el_participation,el_helpfulness,el_most_helpful
5355484,Culinary Arts,,5/1/2027,Certificate,Missoula College,Male,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Bachelors,Music,,,,,,,No opinion,None of the above,,
5355485,Wildlife Biology,,5/10/2024,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,"State of Montana - Department of Fish, Wildlife and Parks",Animal & Wildlife,Organization,Full-Time,Other,Boat Inspector ,,,,,,,35588.8,Hourly Wage,0,0,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
5355486,Linguistics,,5/12/2023,Masters,College Humanities & Sciences,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355487,Art,,5/12/2023,Bachelors,College of the Arts and Media,Female,White/Caucasian,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355488,Music,,5/12/2023,Bachelors,College of the Arts and Media,Male,White/Caucasian,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355489,Journalism,,5/10/2024,Bachelors,College of the Arts and Media,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,StoneCreek Lodge,Hotels & Accommodation,Temporary/Contract Work Assignment,Full-Time,Other,Front Desk Agent,Yes,,,,,,31200,Hourly Wage,0,0,No opinion,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
5355490,Music~Music,Music,5/12/2023,Bachelors,College of the Arts and Media,Female,,23-May,5/1/2023,submitted,Working,UPS (United Parcel Service),Transportation & Logistics,Organization,Part-Time,Operations / Production,UPS preload,,,,,,,37440,Hourly Wage,,,This position meets my expectations,"Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",No,None of the experiential learning activities I participated in at UM were helpful.
5355491,Management & Entrepreneurship~Entertainment Management,Management & Entrepreneurship,5/10/2024,,College of Business,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355492,Elementary Education~Elementary Certification,Elementary Education,5/12/2023,Bachelors,College of Education,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Malmborg school district ,K-12 Education,Organization,Full-Time,Education / Teaching / Training,Lead teacher,,,,,,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Community-based project (service learning or volunteer), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355493,Forestry,,5/12/2023,,College of Forestry & Conserv,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355494,Management & Entrepreneurship,,5/10/2024,Bachelors,College of Business,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,MIssoula Country Club,Sports & Leisure,Organization,Full-Time,Maintenance/Skilled Laborer,Bag Boy,Yes,,,,,,52000,Hourly Wage,0,0,No opinion,None of the above,,
5355495,Music,,5/10/2024,,College of the Arts and Media,Male,Latino(a),23-May,,,,,,,,,,,,,,,,,,,,,,,
5355496,Elementary Education~Elementary Certification,Elementary Education,5/10/2024,Bachelors,College of Education,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,First Security Bank,Financial Services,Organization,Full-Time,Finance,Loan Specialist ,Yes,,,,,,,,,,No opinion,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355497,Chemistry~Secondary Certification,Chemistry,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Bachelors,Secondary Education,,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together"
5355498,Anthropology~Sociology,Anthropology,5/10/2024,Bachelors,College Humanities & Sciences,Female,,23-May,5/1/2023,submitted,Working,Garden City Janitorial,Other Industries,Organization,Part-Time,Other,Professional Cleaner,Yes,,,,,,35360,Hourly Wage,,,This position fails to meet my expectations,"Internship, field experience, student teaching or clinical placement, First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",No,"Internship, field experience, student teaching, practicum or clinical placement"
5355499,Sociology,,5/12/2023,,College Humanities & Sciences,Female,Latino(a),23-May,,,,,,,,,,,,,,,,,,,,,,,
5355500,General AA~Carpentry,General AA,5/1/2025,Certificate,Missoula College,Male,White/Caucasian,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355501,Enviro Sci and Sustainability,"Communication Studies, Nonprofit Administration",5/10/2024,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,23-May,,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,,,,
5355502,"Communication Studies~Women's, Gender & Sexuality St",Communication Studies,5/10/2024,,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355503,Health & Human Performance~Pre-Prof-Phys Therapy,Health & Human Performance,5/10/2024,Bachelors,College of Health,Male,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,MONTANA STATE UNIVERSITY - BOZEMAN,,,,,,,,,,,,
5355504,Management & Entrepreneurship,,5/10/2024,Bachelors,College of Business,Female,Native American/Alaskan Native,23-May,5/1/2023,submitted,Working,Education Logistics,Internet & Software,Organization,Full-Time,Customer/Technical Support,Support Analyst/Client Services Associate,Yes,,,,,,,Annual Salary,,,This position meets my expectations,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Somewhat,None of the experiential learning activities I participated in at UM were helpful.
5355505,Creative Writing,,5/10/2024,,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355506,Theatre,,5/10/2024,,College of the Arts and Media,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355507,Anthropology,,5/10/2024,,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355508,Finance,,5/10/2024,Bachelors,College of Business,Male,Asian/Asian American,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355509,Multidisciplinary Studies,,5/10/2024,Bachelors,College Humanities & Sciences,Female,,23-May,5/1/2023,submitted,Working,bÃ¶hme,Retail Stores,Organization,Part-Time,Sales,Sales Associate,Yes,,,,,,,,,,No opinion,Study abroad or study away program,Yes,None of the experiential learning activities I participated in at UM were helpful.
5355510,Biology~Pre-Medical Sciences,Biology,5/12/2023,,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355511,Social Work,"Pre-Psychiatry, Psychology",5/10/2024,Bachelors,College of Health,Female,Native American/Alaskan Native,23-May,9/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Masters,Social Work,,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Community-based project (service learning or volunteer), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together"
5355512,Social Work,,5/10/2024,,College of Health,Female,,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355513,Physical Therapy~Biology,Physical Therapy,5/12/2023,Doctorate,College of Health,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355514,Elementary Education~Elementary Certification~Psychology,Elementary Education,5/12/2023,Bachelors,College of Education,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Lolo School District,K-12 Education,Organization,Full-Time,Education / Teaching / Training,Classroom teacher ,,,,,,,33000,Annual Salary,0,0,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
5355515,Theatre,Journalism,5/10/2024,Bachelors,College of the Arts and Media,Female,,23-May,5/1/2023,submitted,Working,Elise Zarri,Animal & Wildlife,Temporary/Contract Work Assignment,Part-Time,Data & Analytics,Data Entry ,Yes,,,,,,27040,Hourly Wage,,,This position meets my expectations,None of the above,,
5355516,Music,,5/12/2023,Bachelors,College of the Arts and Media,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Thomas Meagher Bar,Food & Beverage,Organization,Full-Time,Other,Chef,Yes,,,,,,33280,Hourly Wage,,,This position fails to meet my expectations,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Neutral,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5355517,Business Analytics,Economics,5/12/2025,Masters,College of Business,Male,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Masters,Business Analytics (MSBA),,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5355518,Theatre,,5/12/2023,,College of the Arts and Media,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355519,Media Arts,,5/10/2024,,College of the Arts and Media,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355520,Management & Entrepreneurship~Entertainment Management,Management & Entrepreneurship,5/10/2024,Bachelors,College of Business,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355521,Marketing,,5/10/2024,,College of Business,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355522,Media Arts,,5/10/2024,Bachelors,College of the Arts and Media,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Bitterroot Flower Shop,Retail Stores,Organization,Part-Time,Other,Delivery driver ,Yes,,,,,,28080,Hourly Wage,,,No opinion,None of the above,,
5355523,Marketing,Marketing,5/10/2024,Bachelors,College of Business,Female,White/Caucasian,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355524,Marketing~Digital Marketing,Marketing,5/10/2024,Bachelors,College of Business,Female,White/Caucasian,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355525,Finance,,5/10/2024,Bachelors,College of Business,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355526,Enviro Sci and Sustainability,Resource Conservation,5/12/2023,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Certificate,Sustainable Business Strategies,,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
